date,station_id,temp_c,precip_mm
2026-01-03,STATION_A,3.2,0.0
2026-01-04,STATION_A,14.9,0.0
2026-01-06,STATION_A,28.7,0.7
2026-01-07,STATION_A,-3.2,0.3
2026-01-08,STATION_A,8.1,0.0
2026-01-10,STATION_A,3.9,7.7
2026-01-11,STATION_A,26.5,0.0
2026-01-13,STATION_A,16.8,1.6
2026-01-14,STATION_A,0.9,2.6
2026-01-16,STATION_A,-3.4,13.0
2026-01-17,STATION_A,11.3,9.3
2026-01-18,STATION_A,16.1,3.1
2026-01-19,STATION_A,-0.5,2.7
2026-01-20,STATION_A,28.5,2.8
2026-01-21,STATION_A,34.7,7.0
2026-01-22,STATION_A,-9.6,0.0
2026-01-23,STATION_A,28.2,2.8
2026-01-24,STATION_A,19.3,0.0
2026-01-25,STATION_A,3.6,1.5
2026-01-27,STATION_A,-3.4,0.0
2026-01-30,STATION_A,9.0,1.5
2026-02-03,STATION_A,29.2,0.3
2026-02-06,STATION_A,-1.4,0.0
2026-02-07,STATION_A,-6.1,0.5
2026-02-08,STATION_A,-9.7,1.6
2026-02-09,STATION_A,-3.1,7.4
2026-02-10,STATION_A,10.5,5.3
2026-02-11,STATION_A,14.0,0.6
2026-02-13,STATION_A,-6.2,0.0
2026-02-14,STATION_A,8.2,6.8
2026-02-15,STATION_A,18.7,2.0
2026-02-18,STATION_A,17.7,0.0
2026-02-19,STATION_A,14.3,2.9
2026-02-20,STATION_A,33.4,0.6
2026-02-21,STATION_A,0.0,2.8
2026-02-22,STATION_A,2.0,2.4
2026-02-23,STATION_A,20.3,0.0
2026-02-24,STATION_A,18.0,2.6
2026-02-25,STATION_A,10.5,2.9
2026-02-26,STATION_A,28.6,0.1
2026-02-27,STATION_A,1.9,7.1
2026-02-28,STATION_A,12.0,0.0
2026-03-01,STATION_A,-5.8,0.0
